"Reference","Qty","Value","Footprint","Manufacturer","Manufacturer PN","PCB footprint","Specification"
"R3","1","8.2k","","Bourns","CR0603-FX-8201ELF","R0603"," 8.2K ohm, 1% tolerance, 100mW, 75V, -55 to +155 DEG C"
"R2","1","8.2k","","Bourns","CR0603-FX-8201ELF","R0603"," 8.2K ohm, 1% tolerance, 100mW, 75V, -55 to +155 DEG C"
"R1","1","10k","","YAGEO","RC0603FR-0710KL","R0603","10k, 100mW, 1% tolerance,75V, -55 deg C to +155 deg C"
"Q7","1","DGTD120T25S1PT","bldc_1:TO247-3","Diodes Incorporated","DGTD120T25S1PT","TO247-3","Vce=1200V,Ic=50A,Power=348W,Temperature=-40°C to 175°C"
"Q5","1","DGTD120T25S1PT","bldc_1:TO247-3","Diodes Incorporated","DGTD120T25S1PT","TO247-3","Vce=1200V,Ic=50A,Power=348W,Temperature=-40°C to 175°C"
"Q4","1","DGTD120T25S1PT","bldc_1:TO247-3","Diodes Incorporated","DGTD120T25S1PT","TO247-3","Vce=1200V,Ic=50A,Power=348W,Temperature=-40°C to 175°C"
"Q3","1","DGTD120T25S1PT","bldc_1:TO247-3","Diodes Incorporated","DGTD120T25S1PT","TO247-3","Vce=1200V,Ic=50A,Power=348W,Temperature=-40°C to 175°C"
"Q2","1","DGTD120T25S1PT","bldc_1:TO247-3","Diodes Incorporated","DGTD120T25S1PT","TO247-3","Vce=1200V,Ic=50A,Power=348W,Temperature=-40°C to 175°C"
"Q1","1","DGTD120T25S1PT","bldc_1:TO247-3","Diodes Incorporated","DGTD120T25S1PT","TO247-3","Vce=1200V,Ic=50A,Power=348W,Temperature=-40°C to 175°C"
"MH4","1","TH_MH","bldc_1:TH_MH","","","TH_MH",""
"MH3","1","TH_MH","bldc_1:TH_MH","","","TH_MH",""
"MH2","1","TH_MH","bldc_1:TH_MH","","","TH_MH",""
"MH1","1","TH_MH","bldc_1:TH_MH","","","TH_MH",""
"CN11","1","~","","Phoenix Contact","1935174","TH_CN3",""
"CN10","1","~","","Phoenix Contact","1935174","TH_CN3",""
"CN9","1","~","","Phoenix Contact","1935174","TH_CN3",""
"CN8","1","~","bldc_1:TH_L2"," PHOENIX CONTACT","1929180","TH_L2","400V, 24A"
"CN7","1","~","bldc_1:TH_CN3","Phoenix Contact","1935174","TH_CN3","3 Position Wire to Board Terminal Block Horizontal with Board 0.375"" (9.53mm) Through Hole"
"CN6","1","~","bldc_1:TH_CN3","Phoenix Contact","1935174","TH_CN3","3 Position Wire to Board Terminal Block Horizontal with Board 0.375"" (9.53mm) Through Hole"
"CN5","1","~","bldc_1:TH_L2"," PHOENIX CONTACT","1929180","TH_L2","400V, 24A"
"CN4","1","CN_5X1","","Amphenol FCI","69190-405HLF","CON_5x1","5positions, 1 row, male berg, -65 deg C to +130 deg C"
"CN3","1","~","bldc_1:CON_28X2","AMPHENOL / FCI","68691-100HLF ","CON_28X2","2.54MM, 2 ROW, VERTICAL 56 POSITION BERG CONNECTOR"
"CN2","1","~","bldc_1:TH_L2"," PHOENIX CONTACT","1929180","TH_L2","400V, 24A"
